first_name,last_name,gender,country,phone,money
Gypsy,Jendrach,F,Russia,290-16-1593,£40114.21
Idalina,Bocken,F,Indonesia,809-59-8603,£93948.08
Lindy,McCombe,F,Sweden,546-23-8878,£93783.14
Gib,Birtchnell,M,Portugal,805-09-3861,£87300.40
Dosi,Pooke,F,China,506-72-9715,£40208.26
Francklin,Loomes,M,Armenia,111-32-9382,£66220.81
Judie,Kiddye,F,China,710-30-2583,£2825.42
Kris,Chappel,F,Indonesia,548-08-4633,£53530.10
Lynnet,Boomes,F,Sri Lanka,753-82-5650,£89186.13
Shelba,MacConnechie,F,Poland,479-90-6870,£78572.04
Tarrah,Smeuin,F,Philippines,340-01-2709,£89962.43
Marius,Outhwaite,M,Brazil,532-70-5204,£40466.01
Gerladina,Mundee,F,Philippines,600-78-9573,£17600.27
Dorine,Dighton,F,Uzbekistan,170-60-3823,£92025.94
Nicolis,Gilfether,M,Indonesia,598-44-7765,£65126.02
Cybil,Beare,F,China,735-38-6351,£31505.43
Ondrea,Saberton,F,Spain,716-89-5021,£64460.66
Monique,Viney,F,Brazil,204-03-7011,£40395.27
Solomon,Matten,M,Russia,617-25-3470,£17918.86
Jinny,Thewlis,F,Kazakhstan,193-36-4276,£77661.08
Elvina,Piper,F,Brazil,472-92-0262,£88134.69
Arther,Lusted,M,Philippines,287-13-6156,£45935.26
Puff,Dore,M,China,896-96-4481,£2819.87
Mel,Leathwood,F,China,703-61-5647,£35673.22
Gallagher,Bodle,M,China,245-04-2859,£5886.61
Mar,McGeouch,M,China,554-47-6497,£15343.61
Vassili,Gander,M,China,618-16-7029,£58867.17
Thia,Smithen,F,Niger,537-63-7793,£92280.57
Eziechiele,Rosenfeld,M,Indonesia,189-05-8257,£85442.54
Cathleen,Labbez,F,Ethiopia,558-09-7455,£8958.35
Durand,Cuberley,M,China,580-71-4757,£4014.17
Rollin,Exley,M,Indonesia,833-72-8067,£54776.09
Gerta,Andreazzi,F,China,209-16-1262,£14.07
Perla,Rostern,F,Russia,118-26-1237,£73036.69
Colby,Shuxsmith,M,China,389-36-0875,£23473.34
Drew,Meade,M,France,782-49-0121,£35923.73
Konstantin,Lathee,M,Norway,788-92-7634,£83790.75
Vittorio,Welfare,M,Mozambique,128-81-2999,£12078.26
Bellanca,Crayke,F,Ukraine,858-98-2780,£24198.01
Vonny,MacFadden,F,Afghanistan,824-35-4393,£90787.56
Inness,Tomczynski,M,Turkmenistan,812-81-0169,£83363.26
Stanislaus,Gresser,M,Sweden,732-58-6507,£12722.86
Anet,Dockerty,F,Peru,692-13-3887,£70708.37
Franzen,Martinovsky,M,Canada,124-79-7570,£-4288.29
Halette,Garrettson,F,Portugal,876-19-0997,£93447.67
Minetta,MacPherson,F,Indonesia,173-07-8297,£-345.39
Richart,Boscher,M,United States,555-04-5540,£80280.66
Merl,Pridham,F,Philippines,502-32-5379,£80019.83
Ruthi,Rollett,F,China,300-59-8218,£53141.46
Concettina,Altofts,F,Indonesia,146-73-3686,£44520.55
Rochester,Edelheit,M,Philippines,146-60-2977,£36687.30
Salomone,Brownbill,M,North Korea,794-68-0926,£6860.18
Aime,Stefanovic,F,China,449-68-6602,£75287.75
Rogers,Asplen,M,China,286-21-3881,£31639.38
Jeremy,McMurthy,M,Netherlands,431-58-9645,£87549.00
Margaretha,Trayling,F,China,319-33-9948,£48265.19
Collen,Pieroni,F,Canada,318-09-4522,£26740.91
Casey,Casel,F,Brazil,626-23-6183,£10571.17
Murry,Fiske,M,Indonesia,306-16-0267,£83144.69
Tiffy,Cooksey,F,Georgia,787-10-2971,£43828.84
Margarita,Benfield,F,China,292-83-6692,£1033.30
Fredia,Riedel,F,Indonesia,726-28-3632,£5449.64
Phillipe,Eberz,M,Kazakhstan,329-27-3435,£27179.37
Noella,Oakton,F,Brazil,116-01-5796,£75102.53
Nicolis,McInnes,M,Czech Republic,646-98-2032,£42068.33
Vera,Kock,F,China,790-59-4127,£21270.30
Bartel,Hurdman,M,China,780-13-1931,£6479.36
Danila,Nicholls,F,United States,760-96-1243,£58514.14
Benito,Cornewell,M,Brazil,726-41-7383,£-123.98
Jo-ann,Carncross,F,Vietnam,413-58-8365,£62675.91
Oralee,Huet,F,South Sudan,586-91-6206,£70324.35
Cyrus,Tante,M,Mongolia,535-14-3626,£30.60
Florencia,Barnwill,F,Chad,211-95-1417,£4018.20
Rudyard,Abrahm,M,Nicaragua,814-80-9166,£35399.45
Doralyn,Burker,F,France,417-08-8669,£43576.84
Knox,Elan,M,Russia,776-61-0700,£55301.85
Guthrey,Sinson,M,Poland,582-49-4405,£92286.71
Aveline,Allcorn,F,China,754-75-2617,£22127.38
Georas,MacTerlagh,M,Israel,834-16-8299,£32765.49
Creight,Martyns,M,Indonesia,892-01-9551,£-1260.07
Eirena,Carratt,F,Brazil,591-99-0896,£93961.37
Mahalia,Grzegorzewicz,F,China,335-89-8269,£7075.42
Ellery,Causton,M,Mongolia,631-64-5430,£-4565.12
Torey,Okenden,M,Puerto Rico,312-88-7196,£8117.08
Gardner,Pulley,M,Bhutan,857-20-4041,£8014.30
Charlena,Rizzi,F,Indonesia,153-34-2498,£58969.49
Nelson,Martusewicz,M,Portugal,770-66-4220,£50786.74
Joletta,Cabral,F,China,449-65-2874,£61300.05
Jervis,Rosson,M,Russia,621-54-5269,£35161.15
Glendon,Patinkin,M,Poland,440-48-1672,£3011.07
Norene,Krzysztof,F,China,612-49-8190,£91687.88
Erinna,Marle,F,Poland,735-99-9736,£61161.25
Emmanuel,Bidnall,M,United States,629-37-9509,£41643.30
Lindsay,Letcher,F,Haiti,854-50-2964,£84149.25
Nev,Fortin,M,Indonesia,136-18-4028,£15567.71
Karoline,Cammidge,F,South Africa,507-60-4119,£50832.97
Winny,Whorton,F,Czech Republic,721-39-9313,£20529.43
Amandy,Landsman,F,Bulgaria,477-23-5643,£19007.35
Daphene,Rekes,F,China,749-74-2740,£88284.15
Glyn,Thurling,M,Bulgaria,409-17-2133,£841.66
Curr,Duthie,M,Peru,134-28-5413,£89057.80
Simonne,Alabone,F,Laos,140-58-9326,£4141.43
Jade,Joska,F,Philippines,628-59-7528,£90686.95
Francyne,Clutterbuck,F,Indonesia,400-06-1239,£-936.77
Berenice,Hanhardt,F,China,106-54-8168,£59482.92
Chantal,Lavarack,F,Brazil,312-83-0464,£47107.83
Maryrose,Slaymaker,F,China,136-89-1031,£19263.45
Darci,Dutnall,F,Colombia,248-73-2431,£96464.23
Lemmie,Sabberton,M,China,299-38-3510,£87075.29
Neil,Dincey,M,Poland,858-92-0830,£16013.07
Antony,Cheyney,M,China,577-38-0382,£70783.06
Austin,Skoyles,F,China,154-74-9281,£36547.78
